Century,r_global_avg,arrival_eval_rate,arrival_flight_rate,meet_ttot_rate,sum_depflight,collisions_avg,wait_num_avg,fstep_avg,r_avg_0,r_avg_1,r_avg_2,r_avg_3,r_avg_4,r_avg_5,r_global_eval,r_eval_0,r_eval_1,r_eval_2,r_eval_3,r_eval_4,r_eval_5,r_eval_local,duration (s), dist_action
100,-4285.81,0.00,0.35,0.06,31,58.00,0.00,419.90,-865.83,-863.10,-840.09,-431.29,-499.68,-785.82,-2523.36,-498.09,-698.78,-576.19,-174.58,-63.98,-511.74,-2523.36,3306,[0.13456147 0.24209051 0.19373248 0.19873849 0.23087705]
200,-4236.08,0.00,0.32,0.06,32,59.20,0.00,434.40,-805.32,-898.80,-833.88,-435.59,-544.03,-718.46,-2635.46,-560.49,-677.90,-604.27,-62.17,-158.68,-571.95,-2635.46,4210,[0.1393 0.2328 0.2007 0.1961 0.2311]
300,-4047.48,0.00,0.35,0.03,29,26.60,0.00,420.20,-823.75,-852.53,-802.32,-427.64,-436.26,-704.98,-2500.36,-580.86,-744.89,-592.81,-48.84,-53.02,-479.94,-2500.36,4054,[0.1354 0.2415 0.1921 0.2019 0.2291]
400,-4039.93,0.00,0.33,0.00,30,18.80,0.00,427.00,-834.38,-861.46,-790.33,-369.64,-455.36,-728.76,-2335.78,-590.00,-678.18,-559.85,20.40,9.40,-537.55,-2335.78,4161,[0.14185674 0.23689476 0.19317727 0.19867947 0.22939176]
500,-3989.81,0.00,0.33,0.00,30,17.00,0.00,427.00,-748.05,-862.50,-771.46,-447.31,-416.56,-743.93,-2314.34,-587.35,-665.24,-555.35,20.40,8.90,-535.70,-2314.34,4055,[0.14   0.2358 0.1976 0.1952 0.2314]
600,-3947.95,0.00,0.35,0.00,29,21.00,0.00,423.80,-806.82,-916.81,-732.37,-390.35,-396.49,-705.11,-2261.15,-552.43,-588.23,-551.67,16.20,-47.12,-537.90,-2261.15,4163,[0.13822851 0.24485906 0.18517404 0.20563748 0.22610091]
700,-3853.52,0.00,0.32,0.03,29,44.60,0.00,443.80,-741.43,-856.05,-748.28,-396.12,-415.61,-696.02,-2689.29,-416.76,-659.89,-603.51,-178.02,-296.20,-534.91,-2689.29,4140,[0.1358 0.2272 0.197  0.1992 0.2408]
800,-3814.37,0.00,0.33,0.00,30,28.20,0.00,427.00,-754.73,-899.21,-706.29,-335.79,-434.52,-683.83,-2319.01,-616.70,-640.84,-553.62,20.40,8.90,-537.15,-2319.01,4228,[0.1355 0.248  0.1813 0.2104 0.2248]
900,-3801.86,0.00,0.30,0.00,31,42.40,0.00,444.30,-686.62,-863.25,-714.31,-438.37,-404.58,-694.72,-2577.04,-609.71,-650.34,-602.92,-37.88,-91.47,-584.72,-2577.04,4079,[0.1353 0.24   0.1891 0.2033 0.2323]
1000,-3747.18,0.00,0.47,0.11,27,72.80,0.00,375.50,-771.02,-897.64,-661.80,-400.97,-340.79,-674.96,-2253.03,-613.10,-539.89,-404.25,-140.50,-55.68,-499.61,-2253.03,4218,[0.13697395 0.24298597 0.18637275 0.20761523 0.2260521 ]
1100,-3715.08,0.00,0.32,0.03,32,57.80,0.00,438.80,-700.30,-845.69,-729.61,-404.90,-390.68,-643.89,-2738.72,-547.76,-684.53,-536.44,-114.13,-318.40,-537.46,-2738.72,4199,[0.1359 0.2362 0.1943 0.2025 0.2311]
1200,-3674.62,0.00,0.32,0.09,34,50.60,0.00,433.80,-767.15,-847.12,-689.04,-408.58,-307.53,-655.20,-2785.34,-685.95,-491.61,-625.83,-34.76,-283.28,-663.91,-2785.34,4107,[0.13735932 0.23934887 0.18971061 0.19614148 0.23743971]
1300,-3463.15,0.00,0.33,0.00,30,27.40,0.00,427.00,-682.88,-780.54,-654.94,-337.57,-316.24,-690.99,-2321.73,-615.40,-634.93,-564.00,20.40,8.90,-536.70,-2321.73,3948,[0.13934756 0.25533629 0.18455497 0.19522755 0.22553363]
1400,-3530.07,0.00,0.33,0.07,29,107.80,0.00,427.40,-719.99,-751.74,-609.32,-404.26,-411.81,-632.95,-2724.85,-524.12,-497.45,-652.65,-292.72,-205.61,-552.30,-2724.85,4087,[0.12754178 0.24431246 0.18924904 0.20606    0.23283672]
1500,-3469.97,0.00,0.25,0.00,29,47.40,0.00,469.90,-731.39,-765.92,-620.51,-310.71,-346.50,-694.95,-2892.74,-612.20,-728.65,-539.74,-219.94,-182.12,-610.09,-2892.74,4065,[0.13358779 0.2387505  0.18621937 0.21092808 0.23051426]
1600,-3423.41,0.00,0.58,0.00,29,80.40,0.00,367.10,-735.29,-707.04,-589.35,-360.15,-411.34,-620.24,-2553.58,-383.88,-661.37,-339.08,-288.49,-110.49,-770.27,-2553.58,4018,[0.14118949 0.243333   0.18697796 0.20167052 0.22682902]
1700,-3169.05,0.00,0.57,0.23,30,36.40,0.00,326.60,-643.97,-652.50,-544.36,-367.15,-343.07,-618.00,-1675.80,-119.19,-601.27,-173.04,-165.70,-114.54,-502.06,-1675.80,3951,[0.13363119 0.25588952 0.17536556 0.2088749  0.22623883]
1800,-3344.14,0.00,0.67,0.03,30,6.00,0.00,292.80,-663.36,-659.59,-555.38,-375.29,-379.86,-710.66,-1233.15,-34.25,-625.55,-67.50,20.40,8.90,-535.15,-1233.15,4003,[0.13981331 0.25629058 0.17380276 0.20271916 0.22737419]
1900,-3383.24,0.00,0.52,0.06,31,9.00,0.00,390.50,-672.35,-709.37,-585.68,-353.81,-392.51,-669.52,-1989.50,-402.85,-620.22,-323.33,-59.00,-47.51,-536.59,-1989.50,3984,[0.14256722 0.24911213 0.1854896  0.1964485  0.22638255]
2000,-3028.24,0.00,0.55,0.28,25,58.70,0.00,330.90,-655.38,-633.22,-522.77,-283.36,-320.26,-613.26,-2142.13,-264.87,-624.30,-303.47,-302.03,-259.85,-387.61,-2142.13,3882,[0.14027565 0.26411434 0.16702399 0.20592139 0.22266462]
2100,-2927.61,0.00,0.57,0.00,29,24.20,0.00,350.80,-644.70,-610.33,-523.45,-242.84,-348.38,-557.92,-1807.58,-177.17,-636.89,-230.07,-61.40,-164.01,-538.04,-1807.58,3802,[0.13592635 0.26088756 0.17626978 0.20182063 0.22509569]
2200,-3043.96,0.00,0.60,0.44,32,14.60,0.00,296.50,-582.19,-654.66,-539.00,-301.94,-340.25,-625.92,-1521.58,-93.10,-543.29,-172.90,-38.71,-67.23,-606.35,-1521.58,3931,[0.12996723 0.26065137 0.17912741 0.20473167 0.22552233]
2300,-2933.51,0.00,0.63,0.24,29,23.80,0.00,289.00,-611.22,-544.94,-545.58,-373.13,-301.91,-556.74,-1441.64,-37.87,-503.82,-140.60,-81.05,-193.41,-484.89,-1441.64,3857,[0.13651697 0.25816993 0.18469323 0.19955724 0.22106262]
2400,-2882.31,0.00,0.55,0.07,28,38.80,0.00,343.80,-637.82,-551.43,-501.71,-312.55,-310.06,-568.74,-2078.27,-147.32,-744.59,-268.90,-246.07,-53.53,-617.86,-2078.27,3875,[0.13405128 0.26697436 0.16769231 0.21148718 0.21979487]
2500,-3028.59,0.00,0.65,0.39,31,6.00,0.00,273.90,-599.93,-593.51,-498.70,-336.05,-359.17,-641.23,-1289.90,25.82,-630.17,-66.68,-38.01,11.66,-592.52,-1289.90,3714,[0.13595135 0.26808905 0.17429396 0.20356627 0.21809936]
2600,-2816.44,0.00,0.62,0.52,27,18.40,0.00,294.70,-535.34,-577.62,-472.47,-347.66,-292.58,-590.78,-1466.91,-110.27,-635.70,-40.96,6.60,-166.90,-519.68,-1466.91,3507,[0.13399661 0.27413209 0.16363251 0.21136749 0.2168713 ]
2700,-2942.51,0.00,0.65,0.38,29,41.60,0.00,271.10,-577.25,-550.79,-469.72,-376.44,-354.37,-613.94,-1536.97,-104.62,-700.32,-2.52,24.01,-104.16,-649.36,-1536.97,3617,[0.13296941 0.27263364 0.17118138 0.20784839 0.21536719]
2800,-2818.64,0.00,0.63,0.47,30,26.40,0.00,287.10,-563.00,-606.31,-462.19,-294.03,-338.80,-554.30,-1486.55,-46.01,-650.59,-169.51,-129.80,3.15,-493.79,-1486.55,3429,[0.13572854 0.27471373 0.16629898 0.20737472 0.21588402]
2900,-2717.15,0.00,0.67,0.44,27,8.60,0.00,263.80,-557.90,-519.93,-449.46,-276.55,-334.41,-578.90,-1291.08,22.68,-787.74,-2.71,-36.95,1.67,-488.03,-1291.08,3420,[0.13219415 0.27854073 0.16028934 0.21123808 0.21773771]
3000,-2837.41,0.00,0.58,0.21,33,6.00,0.00,315.70,-515.63,-539.03,-464.65,-331.58,-340.02,-646.51,-1655.20,-45.75,-701.62,-222.86,-99.86,-148.08,-437.03,-1655.20,3487,[0.13175886 0.28205925 0.16262689 0.21068987 0.21286513]
3100,-2648.46,0.00,0.63,0.32,31,6.00,0.00,288.30,-506.04,-474.77,-484.78,-312.95,-274.56,-595.36,-1510.64,-31.89,-758.01,-43.77,-37.89,-94.23,-544.85,-1510.64,3709,[0.13027504 0.28584925 0.15777871 0.20795717 0.21813983]
3200,-2681.12,0.00,0.75,0.44,27,10.40,0.00,233.90,-517.71,-521.98,-521.12,-308.26,-221.26,-590.79,-960.54,-45.36,-100.78,-157.37,6.36,-172.62,-490.77,-960.54,3705,[0.13220019 0.28884692 0.15811562 0.19966425 0.22117301]
3300,-2533.71,0.00,0.65,0.41,29,20.40,0.00,280.10,-519.63,-462.99,-418.13,-294.92,-308.90,-529.15,-1478.58,20.04,-672.36,-43.35,-36.26,-141.95,-604.70,-1478.58,3626,[0.13555239 0.27657944 0.15624658 0.20223366 0.22938793]
3400,-2749.30,0.00,0.77,0.69,32,36.20,0.00,204.70,-509.92,-451.18,-513.12,-323.04,-344.54,-607.50,-876.39,-78.47,-25.09,-91.42,-81.24,-79.35,-520.82,-876.39,3519,[0.13351036 0.27158789 0.16569304 0.21189591 0.2173128 ]
3500,-2545.98,0.00,0.73,0.62,32,9.00,0.00,224.70,-379.45,-516.23,-473.40,-286.23,-298.63,-592.03,-887.12,-97.37,-125.56,-87.39,-95.01,-48.62,-433.17,-887.12,3534,[0.13225256 0.28519625 0.16190273 0.2006186  0.22002986]
3600,-2542.66,0.00,0.77,0.61,28,6.20,0.00,205.40,-484.26,-405.03,-481.31,-276.62,-302.12,-593.32,-821.05,-41.37,-93.46,11.49,-38.79,-50.64,-608.28,-821.05,3628,[0.13202218 0.29072079 0.1562925  0.20357778 0.21738676]
3700,-2452.28,0.00,0.78,0.76,29,6.60,0.00,195.80,-481.48,-381.25,-450.57,-305.06,-270.38,-563.53,-749.95,-31.46,-89.95,-42.11,-110.27,8.74,-484.90,-749.95,3527,[0.13027068 0.27779575 0.16596571 0.20769977 0.21826809]
