Century,r_global_avg,arrival_eval_rate,arrival_flight_rate,meet_ttot_rate,sum_depflight,collisions_avg,wait_num_avg,fstep_avg,r_avg_0,r_avg_1,r_avg_2,r_avg_3,r_avg_4,r_avg_5,r_global_eval,r_eval_0,r_eval_1,r_eval_2,r_eval_3,r_eval_4,r_eval_5,r_eval_local,duration (s), dist_action
100,-3552.39,0.00,0.15,0.07,29,9.20,0.00,522.80,-690.38,-638.32,-386.06,-715.91,-731.04,-390.69,-3139.77,-586.69,-444.06,-494.82,-565.20,-592.83,-456.17,-3139.77,3367,[0.10103549 0.14084649 0.31537147 0.18769478 0.25505177]
200,-3517.64,0.00,0.03,0.03,30,54.40,0.00,582.70,-664.31,-675.88,-400.57,-728.93,-683.08,-364.86,-3651.21,-665.97,-623.51,-537.68,-564.89,-722.41,-536.75,-3651.21,4199,[0.10418136 0.15103275 0.3111335  0.1865995  0.2470529 ]
300,-3527.09,0.00,0.08,0.06,31,3.80,0.00,558.70,-743.71,-641.06,-396.17,-768.98,-607.83,-369.33,-3338.11,-661.60,-449.64,-424.69,-537.34,-727.26,-537.58,-3338.11,4354,[0.1017 0.1444 0.3134 0.1928 0.2477]
400,-3389.76,0.00,0.25,0.09,33,16.80,0.00,498.30,-704.26,-517.71,-406.35,-730.54,-698.22,-332.68,-3005.32,-646.05,-392.55,-489.65,-543.72,-471.03,-462.32,-3005.32,4372,[0.10016058 0.14913689 0.31493376 0.18968286 0.24608591]
500,-3306.37,0.00,0.08,0.04,27,20.80,0.00,557.80,-630.25,-438.14,-486.82,-730.62,-653.10,-367.44,-3492.33,-704.71,-506.05,-485.84,-537.33,-713.61,-544.79,-3492.33,4457,[0.09545774 0.15341422 0.305926   0.20475283 0.24044921]
600,-3299.40,0.00,0.10,0.07,29,8.80,0.00,549.90,-699.41,-463.12,-368.61,-736.36,-681.90,-350.00,-3374.03,-671.34,-580.22,-426.60,-531.45,-673.37,-491.05,-3374.03,4367,[0.09601048 0.14527504 0.31865807 0.18698368 0.25307274]
700,-3323.66,0.00,0.07,0.12,32,36.40,0.00,568.60,-738.89,-486.00,-354.66,-686.40,-678.03,-379.67,-3582.49,-762.88,-538.98,-482.34,-527.54,-746.32,-524.43,-3582.49,4309,[0.10183975 0.1506987  0.30652458 0.19221876 0.24871821]
800,-3219.19,0.00,0.08,0.03,30,4.60,0.00,558.70,-707.60,-405.89,-397.90,-714.72,-682.29,-310.80,-3370.52,-718.41,-498.51,-487.72,-535.58,-588.54,-541.76,-3370.52,4356,[0.10128617 0.1500201  0.30124598 0.19754823 0.24989952]
900,-3125.33,0.00,0.00,0.00,30,0.80,0.00,600.00,-647.68,-446.77,-363.92,-704.04,-669.10,-293.80,-3691.25,-756.64,-556.88,-534.59,-535.94,-770.20,-537.00,-3691.25,4376,[0.09678389 0.15329125 0.30848612 0.19446949 0.24696924]
1000,-3088.45,0.00,0.03,0.00,29,6.20,0.00,583.90,-760.15,-423.26,-303.44,-588.06,-712.53,-301.00,-3614.95,-681.62,-497.75,-538.11,-600.73,-737.18,-559.56,-3614.95,4251,[0.09900392 0.15514639 0.30375289 0.19901399 0.24308281]
